OBJECTID,pnd_id,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,reg_entiteit,reg_aard,reg_opnamedatum,reg_status,SHAPE_Length,SHAPE_Area
75754,36814,MORGENSTRAAT,3,,,A,Antwerpen,2000,2de verdieping (K204),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75755,36815,MORGENSTRAAT,3,,,A,Antwerpen,2000,2de verdieping (K205),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75756,36816,MORGENSTRAAT,3,,,A,Antwerpen,2000,2de verdieping (K206),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75757,34071,TURNHOUTSEBAAN,108,,101,D,Deurne,2100,1e verdieping E,woning,2021/11/16 00:00:00+00,opname,173.342401627323,1231.50366364043
75758,36092,DASCOTTELEI,22,,,D,Deurne,2100,1ste verdieping,woning,2023/07/06 00:00:00+00,aanvraagschrapping,49.7142806467562,62.120886367573
75759,36681,DASCOTTELEI,22,,3,D,Deurne,2100,3e verdieping,woning,2025/01/15 00:00:00+00,opname,49.7142806467562,62.120886367573
75760,38073,DASCOTTELEI,22,,2,D,Deurne,2100,2e verdieping,woning,2025/01/15 00:00:00+00,opname,49.7142806467562,62.120886367573
75761,33103,LOVELINGSTRAAT,7,,,A,Antwerpen,2060,volledig pand,woning,2021/05/05 00:00:00+00,opname,36.2307266349366,67.9125833735534
75762,28652,WAALSEKAAI,44,,,A,Antwerpen,2000,gelijkvloers+ 1ste verdieping,gebouw,2024/01/10 00:00:00+00,opname,34.3975346387675,73.591301155613
75763,21218,HOOFTVUNDERLEI,1,,,D,Deurne,2100,Handelsgelijkvloers,gebouw,2014/01/14 00:00:00+00,aanvraagschrapping,77.9935236998958,180.240468131532
75764,27318,HOOFTVUNDERLEI,1,,,D,Deurne,2100,1ste verdiep rechts,woning,2017/05/16 00:00:00+00,aanvraagschrapping,77.9935236998958,180.240468131532
75765,27319,HOOFTVUNDERLEI,1,,,D,Deurne,2100,2de verdiep,woning,2017/05/16 00:00:00+00,aanvraagschrapping,77.9935236998958,180.240468131532
75766,52650,BOSMANSLEI,33,,,A,Antwerpen,2018,volledig pand,woning,2026/02/02 00:00:00+00,kennisgeving,72.7750626008189,285.209836165074
75767,34727,OUDE KOORNMARKT,8,,,A,Antwerpen,2000,4de verdieping,woning,2022/01/27 00:00:00+00,opname,28.7487055615511,42.5360818992732
75768,31560,BRITSELEI,44,,,A,Antwerpen,2000,gezinswoning,woning,2020/07/08 00:00:00+00,opname,52.491933529223,134.778602764965
75769,39003,LANGE NIEUWSTRAAT,13,,,A,Antwerpen,2000,gelijkvloers,gebouw,2024/05/03 00:00:00+00,opname,60.1520118481493,129.577258830494
75770,37018,OFFERANDESTRAAT,21,,,A,Antwerpen,2060,"1,2,3de verdieping",woning,2023/10/10 00:00:00+00,opname,41.9341986748717,96.3194330980622
75771,33414,BOUWHANDELSTRAAT,105,,,T,Borgerhout,2140,volledig pand,woning,2021/05/03 00:00:00+00,opname,83.9792368382362,191.396528802758
75772,38563,ISABELLALEI,145,,301,A,Antwerpen,2018,Appartement 3,woning,2025/01/16 00:00:00+00,opname,65.3756603165014,163.652238893659
75773,39396,WEERSTANDERSSTRAAT,81,,,E,Ekeren,2180,volledig pand,woning,2024/06/10 00:00:00+00,opname,132.304796634459,454.440262622161
75774,33651,BREDASTRAAT,36,,,A,Antwerpen,2060,gelijkvloers,woning,2021/06/28 00:00:00+00,aanvraagschrapping,42.3205161277139,93.0386193714612
75775,33835,BREDASTRAAT,36,,,A,Antwerpen,2060,1ste verdieping,woning,2021/07/16 00:00:00+00,aanvraagschrapping,42.3205161277139,93.0386193714612
75776,33836,BREDASTRAAT,36,,,A,Antwerpen,2060,2de verdieping,woning,2021/07/16 00:00:00+00,opname,42.3205161277139,93.0386193714612
75777,39201,PUTSEBAAN,190,1,,Z,Bezali,2040,volledig pand,woning,2024/06/03 00:00:00+00,opname,243.058071566845,843.150765291998
75778,32872,FUGGERSTRAAT,34,,,A,Antwerpen,2060,volledig pand,woning,2021/10/13 00:00:00+00,opname,49.9212241014467,96.536387409954
